*Item,Descr,*Source,*Dest,*Sourcing,Factor,TransMode,ShipCal,ArrivCal,MajorShipQty,MinorShipQty,RoundingFactor,Disc,Eff,UDC_NOTE_CREATESS,UDC_NOTE_DISC,ONOFF
3409368,Ghe nhua oval DT0950 cao,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,5.000,5.000,.500,,,NewSKU_01042023,,false
3409369,Ghe nhua oval DT0951 lun,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,5.000,5.000,.500,,,NewSKU_01042023,,false
3411574,C-B.quyCosy nhan mut taohg240g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,12.000,12.000,.500,,1/1/19 12:00 AM,,,false
3411575,C-Bquy Cosy nhanmutthom hg240g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,12.000,12.000,.500,,1/1/19 12:00 AM,,,false
3412002,C-B.loc nuoc Matsu H028-25L,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,1.000,1.000,.500,,,,,false
3413586,Ghe xep nhua lun DT0944-21.4cm,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,5.000,5.000,.500,,,NewSKU_01042023,,false
3413710,Caphe ht King-3in1 hg 20x16g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,24.000,24.000,.500,,1/1/19 12:00 AM,,,false
3413711,Caphe ht King-3in1 45goix16g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,10.000,10.000,.500,,1/1/19 12:00 AM,,,false
3413712,Caphe ht Esp King hg 15x2.5g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,24.000,24.000,.500,,1/1/19 12:00 AM,,,false
3413763,Nmam Coop Select 35N tt 520ml,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,12.000,12.000,.500,,,03/04/2023_25NCC_HNR,,false
3414639,Mi xao T.Nhi hai san sot me72g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,30.000,30.000,.500,,,,,false
3414653,Keo mem sua AHHA BBC 60g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,60.000,60.000,.500,,,,,false
3414655,Keo mem sua AHHA BBC 120g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,40.000,40.000,.500,,,,,false
3414888,Bo l.nha 360do Matsu 863-9L*,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,1.000,1.000,.500,,,NewSKU_01042023,,false
3414905,N.Yen c.cap Wonder.lon180ml,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,24.000,24.000,.500,,1/1/19 12:00 AM,,,false
3416065,Hat nem AJI-NGON heo 170g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,32.000,32.000,.500,,,,,false
3416066,Gia vi Aji-Quick bun bo hue59g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,120.000,120.000,.500,,,,,false
3416071,Gia vi AJI-Quick pho bo 57g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,120.000,120.000,.500,,,,,false
3416680,St MEADOW FRESH nkem3x200ml,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,8.000,8.000,.500,,,,,false
3416681,St MEADOWFRE.it beo3x200ml,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,8.000,8.000,.500,,,,,false
