STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,
N,3431913,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
N,3431914,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
N,3440244,12320,111-Cty TNHH MTV TNI,BAN CHAM,N
N,3440249,12320,111-Cty TNHH MTV TNI,BAN CHAM,N
N,3440252,12320,111-Cty TNHH MTV TNI,BAN CHAM,N
N,3440951,17259,100-Cty TNHH Le Trung Thien-NR,BAN CHAM,N
N,3440952,17259,100-Cty TNHH Le Trung Thien-NR,BAN CHAM,N
N,3440953,17259,100-Cty TNHH Le Trung Thien-NR,BAN CHAM,N
N,3440955,17259,100-Cty TNHH Le Trung Thien-NR,BAN CHAM,N
N,3521651,11119,110-Cty TNHH Lotte Viet Nam,MA C  VA MA KM ,N
N,3495074,19219,130-Cty TNHH Nabati Viet Nam,MA C  VA MA KM ,N
N,3529246,19219,130-Cty TNHH Nabati Viet Nam,MA C  VA MA KM ,N
N,3529247,19219,130-Cty TNHH Nabati Viet Nam,MA C  VA MA KM ,N
N,3530120,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
N,3530121,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
N,3530295,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
N,3437747,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
N,3509078,15348,130-CTY CP SX Tra Hung Phat,MA C  VA MA KM ,N
N,3450830,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
N,3298228,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
N,3447980,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
STT,ITEM,VENDOR,DESCR,TINH TRANG,GHI CHU,ban t1-t3/23,STATUS,,
1,3436535,11773,110-CTy CP SX Nhua Duy Tan,,,,Y,,
4,3507857,11773,110-CTy CP SX Nhua Duy Tan,x,KHONG KD ,,N,,
5,3507858,11773,110-CTy CP SX Nhua Duy Tan,x,KHONG KD ,,N,,
9,3517501,11773,110-CTy CP SX Nhua Duy Tan,,,42,Y,,
10,3517622,11773,110-CTy CP SX Nhua Duy Tan,,,24,Y,,
11,3518223,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),x,KHONG KD ,,N,,
12,3554245,11773,110-CTy CP SX Nhua Duy Tan,,,4,Y,,
13,3550852,11773,110-CTy CP SX Nhua Duy Tan,,,1,Y,,
14,3430008,16964,100-CTy TNHH Tan Hop Thanh,,,2,Y,,
15,3430009,16964,100-CTy TNHH Tan Hop Thanh,,,4,Y,,
16,3430010,16964,100-CTy TNHH Tan Hop Thanh,x,KHONG KD ,,N,,
17,3554248,11773,110-CTy CP SX Nhua Duy Tan,,,7,Y,,
18,3543335,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),x,KHONG KD ,,N,,
19,3552977,11773,110-CTy CP SX Nhua Duy Tan,,,9,Y,,
20,3348369,16964,100-CTy TNHH Tan Hop Thanh,,,,Y,,
21,3550808,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,,3,Y,,
22,3547927,11773,110-CTy CP SX Nhua Duy Tan,,,,Y,,
24,3541465,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),x,KHONG KD ,1,N,,
25,3541466,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),x,KHONG KD ,,N,,
26,3552978,11773,110-CTy CP SX Nhua Duy Tan,,,11,Y,,
27,3552976,11773,110-CTy CP SX Nhua Duy Tan,,,10,Y,,
31,3518675,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,,1,Y,,
32,3518676,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),x,KHONG KD ,,N,,
33,3554249,11773,110-CTy CP SX Nhua Duy Tan,,,5,Y,,
35,3554247,11773,110-CTy CP SX Nhua Duy Tan,,,1,Y,,
36,3536487,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,,13,Y,,
37,3528752,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,,8,Y,,
41,3550848,11773,110-CTy CP SX Nhua Duy Tan,x,KHONG KD ,1,N,,
42,3550850,11773,110-CTy CP SX Nhua Duy Tan,,,2,Y,,
43,3542949,16964,100-CTy TNHH Tan Hop Thanh,,,8,Y,,
44,3542950,16964,100-CTy TNHH Tan Hop Thanh,,,5,Y,,
45,3519234,11773,110-CTy CP SX Nhua Duy Tan,,,8,Y,,
46,3404156,11773,110-CTy CP SX Nhua Duy Tan,,,2,Y,,
47,3507586,11773,110-CTy CP SX Nhua Duy Tan,x,KHONG KD ,,N,,
48,3554236,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),x,KHONG KD ,,N,,
49,3426542,12995,100-CTy CP CB Go Duc Thanh-NR,,,8,Y,,
50,3426543,12995,100-CTy CP CB Go Duc Thanh-NR,,,15,Y,,
53,3437855,11773,110-CTy CP SX Nhua Duy Tan,,,19,Y,,
54,3437856,11773,110-CTy CP SX Nhua Duy Tan,,,17,Y,,
55,3438238,11773,110-CTy CP SX Nhua Duy Tan,,,7,Y,,
56,3519560,11773,110-CTy CP SX Nhua Duy Tan,,,4,Y,,
57,3519561,11773,110-CTy CP SX Nhua Duy Tan,,,12,Y,,
58,3520312,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,,,51,Y,,
59,3520313,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,,,24,Y,,
61,3055280,12989,100-CTY TNHH SAMRAN,,,,Y,,
62,3055281,10985,100-Cty TM&PT Cong Nghe Kolend,,,52,Y,,
63,3055284,10985,100-Cty TM&PT Cong Nghe Kolend,,,21,Y,,
64,3055286,10985,100-Cty TM&PT Cong Nghe Kolend,,,,Y,,
65,3055287,10985,100-Cty TM&PT Cong Nghe Kolend,,,57,Y,,
66,3055288,10985,100-Cty TM&PT Cong Nghe Kolend,,,59,Y,,
67,3055289,10985,100-Cty TM&PT Cong Nghe Kolend,,,,Y,,
68,3055291,10985,100-Cty TM&PT Cong Nghe Kolend,,,44,Y,,
69,3062359,10985,100-Cty TM&PT Cong Nghe Kolend,,,,Y,,
72,3318296,16964,100-CTy TNHH Tan Hop Thanh,,,,Y,,
73,3190990,11777,100-CT CP Nhua Rang Dong Long An-NR,,,10,Y,,
74,3190991,11777,100-CT CP Nhua Rang Dong Long An-NR,,,5,Y,,
80,3501372,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,,3,Y,,
84,3509230,11773,110-CTy CP SX Nhua Duy Tan,x,KHONG KD ,,N,,
85,3509231,11773,110-CTy CP SX Nhua Duy Tan,x,KHONG KD ,,N,,
86,3509233,11773,110-CTy CP SX Nhua Duy Tan,x,KHONG KD ,,N,,
87,3509234,11773,110-CTy CP SX Nhua Duy Tan,,,65,Y,,
88,3509236,11773,110-CTy CP SX Nhua Duy Tan,,,3,Y,,
89,3101964,13979,100-CTy TNHH Thuong Mai L.H,,,31,Y,,
90,3101976,13979,100-CTy TNHH Thuong Mai L.H,,,,Y,,
91,3102010,13979,100-CTy TNHH Thuong Mai L.H,,,5,Y,,
94,3103381,10985,100-Cty TM&PT Cong Nghe Kolend,,,83,Y,,
95,3103382,10985,100-Cty TM&PT Cong Nghe Kolend,,,67,Y,,
98,3283554,11773,110-CTy CP SX Nhua Duy Tan,,,18,Y,,
102,3368148,11773,110-CTy CP SX Nhua Duy Tan,x,ma  C,ma  C,N,,
103,3368149,11773,110-CTy CP SX Nhua Duy Tan,x,ma  C,ma  C,N,,
104,3368150,11773,110-CTy CP SX Nhua Duy Tan,,,8,Y,,
105,3368151,11773,110-CTy CP SX Nhua Duy Tan,,,13,Y,,
107,3475382,16964,100-CTy TNHH Tan Hop Thanh,x,ma  C,ma  C,N,,
108,3475383,16964,100-CTy TNHH Tan Hop Thanh,x,ma KM ,,Y,,
109,3475665,16964,100-CTy TNHH Tan Hop Thanh,x,ma c,ma c,N,,
110,3476194,11773,110-CTy CP SX Nhua Duy Tan,,,11,Y,,
111,3476195,11773,110-CTy CP SX Nhua Duy Tan,,,21,Y,,
112,3476196,11773,110-CTy CP SX Nhua Duy Tan,,,10,Y,,
113,3476198,11773,110-CTy CP SX Nhua Duy Tan,x ,LCC,lcc,N,,
114,3476199,11773,110-CTy CP SX Nhua Duy Tan,,,1,Y,,
115,3476200,11773,110-CTy CP SX Nhua Duy Tan,,,4,Y,,
116,3476201,11773,110-CTy CP SX Nhua Duy Tan,x,MA C,ma C,N,,
117,3476202,11773,110-CTy CP SX Nhua Duy Tan,,,8,Y,,
118,3538419,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),x,ma KM ,ma KM ,Y,,
