STT,ITEM,DESCR,VENDOR,TINH TRANG,STATUS
396,3440906,-,16964,,Y
397,3374925,-,16964,,Y
398,3374926,-,16964,,Y
399,3374927,-,16964,,Y
400,3372352,C-Bonoixunginox3D nkFS-NX30K30,16964,NGUNG KINH DOANH,N
401,3433469,-,16964,,Y
402,3311748,-,16964,,Y
403,3364612,-,16964,,Y
404,3406659,Bo noi xung inox304-3D.FSNX20,16964,KHONG KINH DOANH,N
405,3352971,-,16964,,Y
406,3352974,-,16964,,Y
407,3378042,C-Bo noi xung i.1DnkFSNXK-28cm,16964,NGUNG KINH DOANH,N
408,3336962,C-Noiinoxm4303DFive.FS-NS16cm,16964,NGUNG KINH DOANH,N
409,3336963,C-Noi inoxm4303DFive.FS-NS24cm,16964,NGUNG KINH DOANH,N
410,3542948,-,16964,,Y
411,3542951,-,16964,,Y
412,3298487,-,16964,,Y
413,3298488,-,16964,,Y
414,3298489,-,16964,,Y
415,3343026,C-Noiinox3DFiv.FS304NO16C-16cm,16964,NGUNG KINH DOANH,N
416,3343029,-,16964,,Y
417,3343030,-,16964,,Y
418,3343031,-,16964,,Y
419,3344291,-,16964,,Y
420,3477798,-,18833,,Y
421,3477799,-,18833,,Y
422,3477800,-,18833,,Y
423,3473447,-,18833,,Y
424,3520312,-,20888,,Y
425,3520313,-,20888,,Y
426,3540798,-,20888,,Y
