STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,
423,3487363,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
424,3487364,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
426,3487674,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
435,3288346,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
447,3459152,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
468,3513945,11773,110-CTy CP SX Nhua Duy Tan,BAN CHAM,N,
469,3513947,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
470,3513972,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
479,3524413,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
480,3524414,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
481,3524415,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
482,3524416,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
493,3312777,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
494,3312779,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
495,3312780,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
500,3458930,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
502,3446423,11773,110-CTy CP SX Nhua Duy Tan,LCC,N,
503,3446427,11773,110-CTy CP SX Nhua Duy Tan,BAN CHAM,N,
505,3081035,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
507,3556424,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
509,3556030,11773,110-CTy CP SX Nhua Duy Tan,BAN CHAM,N,
515,3392948,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
516,3392949,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
517,3392951,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
540,3455364,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
544,3406717,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
545,3406719,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
