STRNUM,STRNAM,STCITY,STSDAT,STPOLL,STRHDO
694,CH Co.opFood Thang Long 31,HCM,180625,Y,S
695,CH Co.opFood Le Loi 60,HCM,180108,Y,S
6921,TC CH Co.opFood Lien Khu 5-6,Binh Duong,180108,N,S
6931,TC CH Co.opFood Tam Binh 196,Binh Duong,180108,N,S
6941,TC CH Co.opFood Thang Long 31,Binh Duong,180625,N,S
6951,TC CH Co.opFood Le Loi 60,Binh Duong,190108,N,S
9204,NKD-CH CFood Nguyen Ai Quoc 17,Dong Nai,180108,N,S
69025,CH NQ Thanh Thai,HCM,180109,Y,S
69026,CH NQ Pho Quang,HCM,180109,Y,S
8013,Phong Y (SLL),HCM,180110,N,S
696,CH CFood Hoang Anh Thanh Binh,"Binh,P.Tan Hung,Q7",180123,Y,S
6961,TC CH CF Hoang Anh Thanh Binh,Binh Duong,180123,N,S
9303,CH Co.opFood Le Hong Phong,Binh Duong,180123,Y,S
102,NKD-Co.opMart Tran Hung Dao,HCM,0,N,S
104,KSD-Co.opMart Dam Sen,HCM,0,N,S
105,KSD-CoopMart Nguyen Dinh Chieu,HCM,0,N,S
106,KSD-Co.opMart Dinh Tien Hoang,HCM,0,N,S
107,KSD-Co.opMart Phu Lam,HCM,0,N,S
108,KSD-Co.opMart Thang Loi,HCM,0,N,S
109,KSD-Co.opMart Phu My Hung,HCM,0,N,S
110,KSD-Co.opMart Nguyen Kiem,HCM,0,N,S
111,KSD-Co.opMart Xa Lo Ha Noi,HCM,0,N,S
115,KSD-Co.opMart BMC,TP. Ho Chi Minh,0,N,S
116,KSD-Co.opMart An Dong,Ho Chi Minh City,0,N,S
117,KSD-Co.opMart Ly Thuong Kiet,TP. Ho Chi Minh,60506,N,S
126,KSD-Co.opMart Ben Tre,Tinh Ben Tre,81023,N,S
129,KSD-Co.opMart Long An,Tinh Long An,90901,N,S
143,KSD-Co.opMart Binh Duong,Binh Duong,100917,N,S
182,NKD-Co.opMart Nguyen Xi,HCM,111101,Y,S
192,KSD-Co.opMart Hiep Thanh,Ho Chi Minh,131226,N,S
200,Co.op Ga Saigon,HCM,20515,N,S
241,NKD-CH Co.opFood Nguyen Bieu,HCM,120215,N,S
1281,NKD-CN CHTP Hoa Minh-DaNang,Da Nang,121221,N,S
1521,KSD-CN CHTP KCN Tan Thoi Hiep,HCM,111230,N,S
1581,KSD-CN CHTP KCN Tan Binh-Tloi,CNIII-TanPhu-HCM,111116,N,S
1591,KSD-CN CHTP KCN Hiep Phuoc-PMH,Nha be-HCM,101228,N,S
1592,KSD-CN CHTP KCN Long Hau-PMH,Long An,110903,N,S
1611,NKD-CN CHTP Linh Trung 1-XLHN,HCM,111115,N,S
1612,KSD-CN CHTP Le Van Viet-XLHN,TP.HCM,121030,N,S
1651,KSD-CN CHTP KCN Vinh Loc-BMC,HCM,120404,N,S
1751,KSD-CN CHTP Tay Bac-CuChi,HCM,121214,N,S
697,CH CoopFood Trinh Dinh Thao 31,HCM,180305,Y,S
698,CH Co.opFood Tan Huong 262,HCM,180305,Y,S
2000,NKD-CH Co.opFood Tay Lan,HCM,180305,N,S
2001,CH Co.opFood Tan Thanh Dong,"H.Cu Chi, HCM",180305,Y,S
6971,TC CH CF Trinh Dinh Thao 31,Binh Duong,180305,N,S
6981,TC CH CF Tan Huong 262,Binh Duong,180305,N,S
20001,TC CH Co.opFood Tay Lan,Binh Duong,180305,N,S
20011,TC CH CF Tan Thanh Dong,Binh Duong,180305,N,S
2002,CH CFood An Duong Vuong 451,HCM,180315,Y,S
2003,CH Co.opFood Le Thi Ha 2,HCM,180315,Y,S
2004,CH CFood Pham The Hien 2649,HCM,180315,Y,S
2005,CH Co.opFood Ho Van Long 70,HCM,180315,Y,S
20021,TC CH CF An Duong Vuong 451,Binh Duong,180315,N,S
20031,TC CH Co.opFood Le Thi Ha 2,Binh Duong,180315,N,S
20041,TC CH CF Pham The Hien 2649,Binh Duong,180315,N,S
20051,TC CH Co.opFood Ho Van Long 70,Binh Duong,180315,N,S
69027,CH NQ Binh Duong,"TX Di An, Binh Duong",180315,Y,S
9205,CH CFood BH Nguyen Van Tien,Dong Nai,180319,Y,S
9206,CH Co.opFood BH Ho Hoa,Dong Nai,180319,Y,S
1876,KSD-CF CanTho-Ng Van Cu noidai,Can Tho,180320,N,S
2006,CH Co.opFood La Xuan Oai 138,"Q9, HCM",180320,Y,S
20061,TC CH CFood La Xuan Oai 138,Binh Duong,180320,N,S
1613,Co.opMart Xa Lo Ha Noi (SLL),HCM,180402,N,S
3011,Co-opXtra Linh Trung (SLL),HCM,180402,N,S
69028,NKD-CH NQ Hong Lac,HCM,180406,N,S
2007,CH Co.opFood Tran Trong Cung65,"Q7, HCM",180423,Y,S
2008,CH Co.opFood CC Hoang Quan,HCM,180423,Y,S
2009,CH Co.opFood Go Dua 112,HCM,180519,Y,S
20071,TC CH CFood Tran Trong Cung 65,Binh Duong,180423,N,S
20081,TC CH Co.opFood CC Hoang Quan,Binh Duong,180423,N,S
2010,CH Co.opFood CC IDICO,"Tan Phu, HCM",180509,Y,S
20101,TC CH Co.opFood CC IDICO,Binh Duong,180509,N,S
